user_id,nickname,gender,avatar,desc,ip_location,follows,fans,interaction,tag_list,last_modify_ts
597818875e87e73490fd8b3b,一只小茄墩,男,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31fnf32v4ge0049mqjkc8f2pr0sqoqig?imageView2/2/w/360/format/webp,"好的科技不需要仰望✨

去AGI的历史上留点故事",北京,440,24350,320216,"{""info"": null, ""profession"": ""算法工程师"", ""college"": ""南京大学""}",1766710858100
5e2a573f0000000001002ddf,阿卷,女,https://sns-avatar-qc.xhscdn.com/avatar/634a7d8d49edab6343b6f292.jpg?imageView2/2/w/360/format/webp,每天在教室和食堂反复横跳的干饭人,广东,43,2914,10819,"{""info"": null}",1766711605992
639373b700000000260065ab,徒手拆高达,男,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31jo6aaih3q605osjeerpgpdb2q4oup0?imageView2/2/w/360/format/webp,NTU Roboticist,新加坡,214,2600,17028,"{""info"": null}",1766712310616
5e2c6c3000000000010043fa,港科巴菲特,男,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31h4r0u9aji005nhcdgo08gvq3b8dpko?imageView2/2/w/360/format/webp,"PhD in CSE, HKPFS, 美股期权, 旅游爬山",广东,82,309,1695,"{""info"": null, ""college"": ""香港科技大学""}",1766713759942
6164486e0000000002020096,和AI一起进化,男,https://sns-avatar-qc.xhscdn.com/avatar/642664709e2ef0a4db22f8af.jpg?imageView2/2/w/360/format/webp,"USTC博士|强化学徒|ChatPaper作者|分享最新AI资讯，乐子和暴论，人工手动编辑(值得关注！)
感谢关注，但不发任何审稿数据，虽然我不喜欢iclr的回复，但大家如果不撤稿的话，最好还是遵守规",广东,49,4611,33428,"{""info"": null, ""college"": ""中国科学技术大学""}",1766714693292
64abb970000000001c02908a,添加一个名字,,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31619ea6ngm2g5p5bn5o7544af9utiio?imageView2/2/w/360/format/webp,安卓researcher，顶会抽奖爱好者，梦想成为科研元帅,广东,187,919,6143,{},1766735913621
639a3d10000000002702a3ee,Dawei Li,男,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo318vfal7i44005osq7k89t8vesuo7lk8?imageView2/2/w/360/format/webp,"DMML@ASU外交大使（囯內）
北美DM二代弟子
Oracle-LLM创始人
Misinformation末法时代证道中
LLM/ NLP/ DM：david-li0406.github.io",美国,573,4960,25694,"{""info"": ""25岁"", ""location"": ""UnitedStates""}",1766736111196
6228870a0000000010008e88,量子位,女,https://sns-avatar-qc.xhscdn.com/avatar/622887c64f1c23567e524733.jpg?imageView2/2/w/360/format/webp,վ'ᴗ' ի 追踪科技前沿,北京,15,133935,1328627,"{""info"": ""25岁"", ""location"": ""北京海淀"", ""profession"": ""数码博主""}",1766737028210
5b6bf1275d3f3f0001f8c73a,Henry,男,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31chfuvlogk004abgkeoifhpqia2ql6o?imageView2/2/w/360/format/webp,"国内Top2 23级毕业生，现坐标西雅图
旅游、滑雪、摄影、科研
CSIA一级",美国,318,230,7635,"{""info"": ""24岁"", ""location"": ""UnitedStates""}",1766741887810
55f00d62a75c950983bfc3e9,AI很有意思,女,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31l5o81miku00415cb06m5gv9l0ob978?imageView2/2/w/360/format/webp,"🤖 AI圈课代表 📢
💊 专供“看得懂” 和“有意思”😂
👉 关注@AI很有意思，让AI变得超有意思～",北京,11,1961,31603,"{""info"": null, ""location"": ""北京""}",1766742366673
