tweet_id,create_time,create_date_time,content,user_id,nickname,username,replyCount,retweetCount,likeCount,quoteCount,conversation_id,retweetedTweet_id,quotedTweet_id,replyedTweet_id,at_count
1994104147373903893-94207109-509,,,,94207109,つかなな,tukanana,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1432152423976484865-984,,,,1432152423976484865,Huanc,chuanEgg,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-18730875-524,,,,18730875,Chandru Venkataraman,vchandru,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1804471692145963008-655,,,,1804471692145963008,WK Wong,wkwdev,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-3793270994-119,,,,3793270994,다ㄹ라,doreonsesang,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-9590162-938,,,,9590162,S (ﾂｲｰﾄはﾂﾘｰ全体をご確認ください),esumii,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1125349917696806913-182,,,,1125349917696806913,Xulong Zhang,zhang_xu_long,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-3231526214-096,,,,3231526214,Hansang Lee 🤖🩻,thehansanglee,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1892230001086615552-872,,,,1892230001086615552,권베타,betanesque,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-31362224-673,,,,31362224,parlange,parlange,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-480252402-214,,,,480252402,horiem,yellowshippo,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-2187345613-178,,,,2187345613,Dimitris Diochnos,DDiochnos,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1024753731143909377-584,,,,1024753731143909377,Yavar Yeganeh,YavarYeganeh_,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-978294263418052610-870,,,,978294263418052610,Vaibhavi Singh,__Vaibhavi,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-2168338099-438,,,,2168338099,달팽이,jjhsnail0822,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-5767802-990,,,,5767802,Atsushi Fujita,akf,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-150741239-219,,,,150741239,亀田裕介,kamekamekame877,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-2601693690-632,,,,2601693690,Saumya Gupta,SaumyaGupta26,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1770523893326860288-946,,,,1770523893326860288,Sophie Xhonneux,SophieXhon11060,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-180323859-809,,,,180323859,とりから🐾,D05E1,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1422080580-750,,,,1422080580,Jesslyn Nathania,jesslyn_n1999,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1904046897540784128-155,,,,1904046897540784128,Tohoku kiritan,detonation_wave,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1841533327909502976-657,,,,1841533327909502976,Alistaired,Alistaired_Van,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1577730046546120704-515,,,,1577730046546120704,Ivan Glushenkov,conffused_soul,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1477197035757764608-135,,,,1477197035757764608,あさひな,aaiashn,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1670558569832542208-462,,,,1670558569832542208,Kim DY,gimdong50362155,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-2620107866-786,,,,2620107866,Yuhui Xu,xyh6666,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-717269055061630977-807,,,,717269055061630977,Dhruv,dhruv2038,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1171358350384058368-616,,,,1171358350384058368,Ronan Pup,RonanPup,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-67289852-634,,,,67289852,Masaki Saito,rezoolab,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-2408294623-477,,,,2408294623,Masahiro Hotta,hottaqu,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1692740240086360064-804,,,,1692740240086360064,Qy,Q_yuan_,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-215235235-208,,,,215235235,Yanan Sui,YananSui,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1797973144407625728-624,,,,1797973144407625728,Ningsen Wang,NingsenW66582,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1538496921085415424-315,,,,1538496921085415424,Haodong Wen,herrywen1,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1026989978599940101-919,,,,1026989978599940101,chansung,algo_diver,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1067435223971913729-117,,,,1067435223971913729,ukey,mmmarc1207,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1238768074238484481-961,,,,1238768074238484481,emmyeil(じゃらしまる),emmyeil,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1219213476-334,,,,1219213476,Guillaume Letellier,HadesGuigui,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1880536728546779136-117,,,,1880536728546779136,ㄴ,6c696265,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-406184392-609,,,,406184392,望月紅葉さんと幸せな家庭を築きたい,momiji_fullmoon,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1324682445904506883-516,,,,1324682445904506883,bayson🦊,baysonfox,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-130779448-486,,,,130779448,Jihyeon Kim (김지현),simnalamburt,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1735180199426486272-515,,,,1735180199426486272,Qiushi Sun,qiushi_sun,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1266287914524143616-370,,,,1266287914524143616,YunpyoAn,YunpyoAn,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1788964121616248832-104,,,,1788964121616248832,UX042,UX042_NotFound,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1432446474-240,,,,1432446474,コズマイク,jack634k,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-4776836712-837,,,,4776836712,イショティハドゥス,Ishotihadus,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-3102590250-746,,,,3102590250,C.C.,g9164312,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-536156682-769,,,,536156682,"NOZAWA, Kento",nzw0301,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1073974163704958976-553,,,,1073974163704958976,Ahmad Beirami,abeirami,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1983497826140327936-098,,,,1983497826140327936,IceWande,IceWande_hd,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-759074605-489,,,,759074605,sudo fixes everything,Alenjonesyi,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1841436670169923584-789,,,,1841436670169923584,AI Dance,AI_Whisper_X,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1583748429767139328-613,,,,1583748429767139328,Yiding Wang,blancokdb,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1270979457432473601-961,,,,1270979457432473601,Muramasa,Muramasa_2,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1535953626275119104-212,,,,1535953626275119104,yuu,stat_mlgeo,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1391242945844572162-985,,,,1391242945844572162,Takashi Matsubara(松原崇),tksmatsubara,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-283400471-282,,,,283400471,那須音トウ / Nasune Tou,NASNETou,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1621387926876868608-729,,,,1621387926876868608,meowshark,colored_dye,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-700681239913754625-665,,,,700681239913754625,"Dativa, PhD",dtizikara,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1013492136304611328-800,,,,1013492136304611328,Yizhak Ben-Shabat (Itzik),sitzikbs,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1365387590040444930-053,,,,1365387590040444930,Ernst Röell,ErnstRoell,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1437437334618718212-161,,,,1437437334618718212,Mengyue Yang,Mengyue_Yang_,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1149061846697070593-503,,,,1149061846697070593,Haoxuan (Steve) Chen,haoxuan_steve_c,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-39639948-365,,,,39639948,くらら嬢,KKKKKKKKKULA,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1330077340374872066-119,,,,1330077340374872066,Kazuki Fujii,okoge_kaz,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-551075070-662,,,,551075070,whjxnyzh,whjxnyzhQAQ,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-17629607-106,,,,17629607,Andrei Bursuc,abursuc,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-2270933817-178,,,,2270933817,Steve Azzolin,steveazzolin,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1978575577906081792-498,,,,1978575577906081792,Alex Zhang,AlexZhang152005,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1561727472713998339-683,,,,1561727472713998339,SamEgwuJr,SamEgwuJr,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-2602560853-557,,,,2602560853,Cihang Xie,cihangxie,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1449220296842567684-414,,,,1449220296842567684,Ashkan Mirzaei,ashmrz10,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1590731191375667201-497,,,,1590731191375667201,Ronaldo Canizales,ArmandoCodigos,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-928260634155933696-850,,,,928260634155933696,Heng Fang,HengFang3,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1465206276791668738-474,,,,1465206276791668738,.,Pattywan11,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-4036714934-422,,,,4036714934,Jorge Hernandez 🇺🇦 🏳️‍🌈,braneloop,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1325476858654306307-043,,,,1325476858654306307,Jian Kang,jiank_uiuc,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1240776894288728069-684,,,,1240776894288728069,Honglin (虹霖) Bao,HonglinB,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-534107522-055,,,,534107522,Chaoyue He,CYH37,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1224626519714279424-926,,,,1224626519714279424,Héber H. Arcolezi,hharcolezi,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1493360320101953540-724,,,,1493360320101953540,Mingyuan Wu ✈️ NeurIPS 2025,MingyuanWu4,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1644592079295877122-066,,,,1644592079295877122,Quang Hưng Phạm,PQHHUST,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1432603895390371842-432,,,,1432603895390371842,Paper Copilot @ ICLR 2026,papercopilot,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-879532084389216256-650,,,,879532084389216256,Minsik Oh,minsik_nlp,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1514798196244946953-345,,,,1514798196244946953,Zhimeng Wang,andrewwang145,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-513272181-100,,,,513272181,Manuel,Manuel_NLP,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-60944552-544,,,,60944552,Yisong Yue,yisongyue,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1115817574078582785-186,,,,1115817574078582785,Prithviraj (Raj) Ammanabrolu,rajammanabrolu,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1489310093829152771-047,,,,1489310093829152771,Research Rabbit,ResearchRabbit1,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1828583849946689537-455,,,,1828583849946689537,phil,big_algocracy,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-3305395701-603,,,,3305395701,Bukenya Lukman,lukman_bukenya,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1812823788649910272-245,,,,1812823788649910272,Zhao Yang,YangZhao10102,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-393862677-955,,,,393862677,Javier Burroni,JavierBurroni,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1420820617859895310-753,,,,1420820617859895310,GoGoNN🇫🇮🇺🇦,hhjjjFinFin,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1284141451626999813-460,,,,1284141451626999813,Sihyun Yu,sihyun_yu,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1667381761578524673-948,,,,1667381761578524673,Rising Zhang (张瑞星),xing_rui12683,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1025331400109477889-325,,,,1025331400109477889,MikaStars★,MikaStars39,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1864417156534030338-803,,,,1864417156534030338,Jotham,ashioyajotham_,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-563947963-335,,,,563947963,Debjit Paul,DebjitPaul2,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-113601199-315,,,,113601199,Tianyin Xu,tianyin_xu,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1503078169691435008-088,,,,1503078169691435008,Licheng Liu,liulicheng10,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-4787104722-834,,,,4787104722,冷面一碗,jatdipcoengfan,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1235516750114050048-638,,,,1235516750114050048,Kunpeng,GradaXie,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-559572885-749,,,,559572885,yingzhen,liyzhen2,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1521502275381997570-438,,,,1521502275381997570,Enea Monzio Compagnoni,EneaMC,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1290454249059627009-234,,,,1290454249059627009,Jinwoo Kim,jw9730,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-134687994-041,,,,134687994,Shahan,shahanmemon,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1807355443922239488-253,,,,1807355443922239488,Kimsure,ElrosKim,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-115426969-256,,,,115426969,Francesco Orabona,bremen79,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1852751650785787904-003,,,,1852751650785787904,Junhan Zhu,Alright_lone,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1433727800578617353-014,,,,1433727800578617353,Zuobai Zhang,Oxer22,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1393765529127514115-775,,,,1393765529127514115,琥珀青葉@KohakuLab,KBlueleaf,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-801840229418233857-306,,,,801840229418233857,Yuheng Bu,YuhengBu,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1749470262976974848-091,,,,1749470262976974848,Dake BU,dakebu_cityu,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1320173464372670464-132,,,,1320173464372670464,"Kishoka Mdogo, Ph.D",DanielKishoka,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-3439990697-676,,,,3439990697,"Kosta Derpanis (visiting Bristol, UK)",CSProfKGD,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-4761174372-312,,,,4761174372,Lorenzo Xiao,lrzneedresearch,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-2720792168-351,,,,2720792168,Yuliang Xiu,yuliangxiu,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1277309540313300995-710,,,,1277309540313300995,Soufiane Hayou,hayou_soufiane,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1684037808649011200-170,,,,1684037808649011200,ChengSong Huang,ChengsongH31219,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1110783472371748865-902,,,,1110783472371748865,Rob Tang 🦞,XiangruTang,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1290851578312716290-153,,,,1290851578312716290,Da Yu,DaYu85201802,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1860759042-101,,,,1860759042,Leon Lang,Lang__Leon,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-1440505656-726,,,,1440505656,🍦🧑‍🎨,SAGITTERIUS1,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994104147373903893-606317658-001,,,,606317658,Diallo Ciré,diallocireh,0,0,0,0,1994104147373903893,1994104147373903893,,,0
1994648404430115289-970225024312463360-714,,,,970225024312463360,Sir Francis Haddock,FrancoisHadoque,0,0,0,0,1994648404430115289,1994648404430115289,,,0
1994648404430115289-405154732-341,,,,405154732,Dimitra Maoutsa,_dim_ma_,0,0,0,0,1994648404430115289,1994648404430115289,,,0
1994648404430115289-1938349905267085312-581,,,,1938349905267085312,levyn,vernallworks,0,0,0,0,1994648404430115289,1994648404430115289,,,0
1994648404430115289-2707709641-825,,,,2707709641,Daniel of the Shire,countrsignal,0,0,0,0,1994648404430115289,1994648404430115289,,,0
1994648404430115289-81869176-258,,,,81869176,Djamé..,zehavoc,0,0,0,0,1994648404430115289,1994648404430115289,,,0
1994648404430115289-512275659-174,,,,512275659,Pasquale Minervini,PMinervini,0,0,0,0,1994648404430115289,1994648404430115289,,,0
1994648404430115289-20503-358,,,,20503,Paul Pajo 🧢 [Jan/3➞₿ 🔑∎] #Insulin4All {#HODL},pageman,0,0,0,0,1994648404430115289,1994648404430115289,,,0
1994648404430115289-3792459557-526,,,,3792459557,Joan Serrà,serrjoa,0,0,0,0,1994648404430115289,1994648404430115289,,,0
1994648404430115289-887278045761077248-825,,,,887278045761077248,Dmytro Mishkin 🇺🇦,ducha_aiki,0,0,0,0,1994648404430115289,1994648404430115289,,,0
1994648404430115289-1253834003871936513-049,,,,1253834003871936513,Machine Learning Street Talk,MLStreetTalk,0,0,0,0,1994648404430115289,1994648404430115289,,,0
1994648404430115289-752980613519540224-650,,,,752980613519540224,adn 👣,adn_twitts,0,0,0,0,1994648404430115289,1994648404430115289,,,0
1994833897683669185-82907797-920,,,,82907797,michelangelo13,micheleangelo13,0,0,0,0,1994833897683669185,1994833897683669185,,,0
1994833897683669185-1062603401576488961-483,,,,1062603401576488961,Eli Chien,chien_eli,0,0,0,0,1994833897683669185,1994833897683669185,,,0
