source_agent,target_agent,direction
1010512984,6045441276,bidirectional
1027417317,1148369915,bidirectional
1165692665,1871902324,bidirectional
1165692665,5143363224,bidirectional
1165692665,6470348556,bidirectional
1165692665,6852943440,bidirectional
1165692665,7071325949,bidirectional
1165692665,7181375425,bidirectional
1165692665,7912396743,bidirectional
1240212845,1724889741,bidirectional
1240212845,1796191232,bidirectional
1240212845,1917491813,bidirectional
1240212845,3860595207,bidirectional
1240212845,5316461624,bidirectional
1240212845,6045441276,bidirectional
1240212845,6327562379,bidirectional
1240212845,7181375425,bidirectional
1307254057,6470348556,bidirectional
1307254057,7912396743,bidirectional
1350565915,1668589577,bidirectional
1350565915,6537673609,bidirectional
1648544895,1169193955,bidirectional
1648544895,1240212845,bidirectional
1648544895,1830516311,bidirectional
1648544895,1860293712,bidirectional
1648544895,1912273717,bidirectional
1648544895,2199733231,bidirectional
1648544895,2304284334,bidirectional
1648544895,6045441276,bidirectional
1648544895,7888868912,bidirectional
1665335994,1240212845,bidirectional
1665335994,1296826312,bidirectional
1665335994,1796191232,bidirectional
1665335994,5242689177,bidirectional
1665335994,5703921756,bidirectional
1665335994,6990903687,bidirectional
1738690784,1959036263,bidirectional
1738690784,2304284334,bidirectional
1738690784,5974492728,bidirectional
1738690784,7888868912,bidirectional
1738690784,7909556718,bidirectional
1830516311,2304284334,bidirectional
1830516311,3860595207,bidirectional
1830516311,7793479333,bidirectional
1904769205,2951458223,bidirectional
1904769205,3290073825,bidirectional
1912273717,1830516311,bidirectional
1912273717,1860293712,bidirectional
1912273717,7337714168,bidirectional
1917491813,1912273717,bidirectional
1917491813,2199733231,bidirectional
1917491813,2884729002,bidirectional
1917491813,5143363224,bidirectional
1917491813,5974492728,bidirectional
1917491813,6045441276,bidirectional
1917491813,6144534759,bidirectional
1917491813,6444741184,bidirectional
1917491813,7037879187,bidirectional
1917491813,7629829666,bidirectional
1959036263,5367240037,bidirectional
2143895791,7778686786,bidirectional
2194035935,1296826312,bidirectional
2194035935,1796191232,bidirectional
2194035935,1798528990,bidirectional
2194035935,2627528013,bidirectional
2194035935,2884729002,bidirectional
2194035935,3636978933,bidirectional
2194035935,3723218991,bidirectional
2194035935,3860595207,bidirectional
2194035935,3996876140,bidirectional
2194035935,5316461624,bidirectional
2194035935,5338613080,bidirectional
2194035935,5703921756,bidirectional
2194035935,5845368028,bidirectional
2194035935,6105753431,bidirectional
2194035935,6189332814,bidirectional
2194035935,6327562379,bidirectional
2194035935,6462784518,bidirectional
2194035935,7559472847,bidirectional
2194035935,7629829666,bidirectional
2194035935,7904907012,bidirectional
2199733231,1010512984,bidirectional
2199733231,1296826312,bidirectional
2199733231,1350565915,bidirectional
2199733231,1727449613,bidirectional
2199733231,1788469157,bidirectional
2199733231,1798528990,bidirectional
2199733231,1846972357,bidirectional
2199733231,1912273717,bidirectional
